iter	Passed	Remaining
0	56	56747
1	57	28457
2	57	19022
3	57	14302
4	57	11474
5	57	9589
6	58	8243
7	58	7233
8	58	6446
9	58	5817
10	58	5302
11	59	4872
12	59	4509
13	59	4197
14	59	3927
15	60	3690
16	60	3482
17	60	3297
18	60	3131
19	60	2983
20	61	2848
21	61	2725
22	61	2613
23	61	2511
24	61	2416
25	62	2329
26	62	2247
27	62	2171
28	62	2101
29	63	2037
30	63	1976
31	63	1919
32	63	1865
33	63	1814
34	64	1766
35	64	1721
36	64	1678
37	64	1637
38	64	1598
39	65	1562
40	65	1527
41	65	1494
42	65	1462
43	65	1432
44	66	1403
45	66	1375
46	66	1349
47	66	1324
48	66	1299
49	67	1276
50	67	1253
51	67	1232
52	67	1210
53	68	1191
54	68	1173
55	68	1154
56	68	1136
57	68	1118
58	69	1102
59	69	1086
60	69	1070
61	69	1055
62	69	1040
63	70	1026
64	70	1012
65	70	999
66	70	986
67	71	973
68	71	961
69	71	949
70	71	937
71	71	925
72	72	914
73	72	903
74	72	893
75	72	883
76	72	873
77	73	863
78	73	853
79	73	844
80	73	836
81	73	827
82	73	817
83	74	808
84	74	800
85	74	792
86	74	784
87	74	776
88	75	769
89	75	762
90	75	755
91	75	748
92	76	741
93	76	734
94	76	727
95	76	721
96	76	715
97	77	709
98	77	703
99	77	697
100	77	691
101	77	685
102	78	679
103	78	673
104	78	668
105	78	662
106	78	657
107	79	652
108	79	647
109	79	642
110	79	637
111	79	632
112	80	628
113	80	623
114	80	618
115	80	614
116	80	609
117	81	605
118	81	601
119	81	596
120	81	592
121	81	588
122	81	584
123	82	580
124	82	576
125	82	573
126	82	569
127	83	565
128	83	562
129	83	558
130	83	554
131	83	551
132	84	547
133	84	544
134	84	540
135	84	537
136	84	534
137	85	531
138	85	528
139	85	525
140	85	522
141	85	519
142	86	515
143	86	512
144	86	509
145	86	506
146	86	504
147	87	501
148	87	498
149	87	495
150	87	492
151	87	490
152	88	487
153	88	484
154	88	482
155	88	479
156	88	477
157	89	475
158	89	472
159	89	470
160	89	467
161	89	464
162	90	462
163	90	459
164	90	457
165	90	455
166	90	452
167	90	450
168	91	448
169	91	446
170	91	444
171	91	441
172	92	439
173	92	438
174	92	436
175	92	433
176	92	431
177	93	429
178	93	427
179	93	425
180	93	423
181	93	422
182	94	420
183	94	418
184	94	416
185	94	414
186	94	412
187	95	410
188	95	408
189	95	406
190	95	405
191	95	403
192	96	401
193	96	399
194	96	398
195	96	396
196	96	394
197	97	393
198	97	391
199	97	389
200	97	388
201	97	386
202	98	384
203	98	383
204	98	381
205	98	379
206	98	378
207	99	376
208	99	375
209	99	373
210	99	372
211	99	370
212	99	369
213	100	367
214	100	366
215	100	364
216	100	363
217	100	362
218	101	360
219	101	359
220	101	357
221	101	356
222	101	355
223	102	353
224	102	352
225	102	351
226	102	349
227	102	348
228	103	347
229	103	345
230	103	344
231	103	343
232	103	342
233	104	340
234	104	339
235	104	338
236	104	337
237	104	335
238	105	334
239	105	333
240	105	332
241	105	331
242	105	330
243	106	328
244	106	327
245	106	326
246	106	325
247	106	324
248	107	323
249	107	321
250	107	320
251	107	319
252	107	318
253	108	317
254	108	316
255	108	315
256	108	314
257	108	313
258	109	312
259	109	311
260	109	310
261	109	309
262	109	308
263	110	306
264	110	305
265	110	304
266	110	303
267	110	302
268	111	301
269	111	300
270	111	299
271	111	298
272	111	297
273	112	296
274	112	295
275	112	295
276	112	294
277	112	293
278	113	292
279	113	291
280	113	290
281	113	289
282	113	288
283	114	287
284	114	286
285	114	285
286	114	285
287	114	284
288	115	283
289	115	282
290	115	281
291	115	280
292	115	279
293	116	279
294	116	278
295	116	277
296	116	276
297	117	275
298	117	274
299	117	273
300	117	273
301	117	272
302	118	271
303	118	270
304	118	269
305	118	269
306	118	268
307	119	267
308	119	266
309	119	265
310	119	264
311	119	264
312	120	263
313	120	262
314	120	261
315	120	261
316	120	260
317	121	259
318	121	258
319	121	258
320	121	257
321	121	256
322	122	255
323	122	255
324	122	254
325	122	253
326	122	252
327	123	252
328	123	251
329	123	250
330	123	250
331	123	249
332	124	248
333	124	247
334	124	247
335	124	246
336	124	245
337	125	245
338	125	244
339	125	243
340	125	243
341	125	242
342	126	241
343	126	240
344	126	240
345	126	239
346	126	238
347	127	238
348	127	237
349	127	236
350	127	236
351	127	235
352	128	234
353	128	234
354	128	233
355	128	232
356	128	232
357	129	231
358	129	231
359	129	230
360	129	229
361	129	229
362	130	228
363	130	227
364	130	227
365	130	226
366	130	225
367	131	225
368	131	224
369	131	224
370	131	223
371	132	222
372	132	222
373	132	221
374	132	221
375	132	220
376	133	219
377	133	219
378	133	218
379	133	218
380	133	217
381	134	216
